sabaeplan,num,year,nteam,team,title,proposal,summary,expectation,result1
30,6,2013,6,ムール貝,もちマッチング?伝統×出逢い?,おこない」を通した男女の出逢いの場を提供する,◎市東部の「おこなう」を通した出逢いの場  ・男性が自分のIDがついた餅を投げる  ・女性は拾った餅に書かれたIDをウェブサイトで入力してプロフィールをゲットできる  →ウェブサービス上で情報のやり取り  ◎ターゲットはパートナーのいない方  ・男性は鯖江市内の20代  ・女性は市内外を問わず20代  時期：お盆や正月  場所：西山  ＊第６回地域活性化プランコンテスト　優秀賞,・「おこない」という伝統が広まる  ・鯖江市が家族の愛にあふれるまちになり、活性化する,不採択
31,6,2013,7,ナポリタン,SABA-Education,高校生が企画・立案して誠市の屋台経営を行う,◎鯖江で育ってよかったと思える  ・「鯖江の○○に愛着を持っています」  ◎教育に注目  ・自分の頭で考えるという経験を高校生の頃からしてもらいたい  →鯖江を教育先進国に  ◎SABA-Education  ・誠市の屋台の経営を高校生に一任  →マインド、スキル、知識、実践力が身に付く  ・地元の社長がメンターとして指導  ＊第６回地域活性化プランコンテスト　優秀賞,・高校生が鯖江に愛着を持つようになる,一部採択
32,6,2013,8,はんぺん,電脳サバゲー?鯖江に若者を呼び込む?,西山公園やJR鯖江駅でCG映像を使ったサバイバルゲームを開催する,◎鯖江を戦場にしたサバイバルゲーム  ・若者に人気（若者が集まるように）  ◎電脳サバゲー  ・AR（拡張現実）をつかったサバイバルゲーム  →スマートフォンやタブレットを通して画面を見ることで実際には見えないものが映し出される  開催場所：JR鯖江駅、西山公園  ◎鯖江でやる理由  ・電脳メガネのまち  →電脳メガネサミット  ・ブランディングしやすい  →SABAE（さばえ）　SABAGE（鯖ゲー）,・鯖江が若者にあふれる街になる  ・鯖江市の知名度が上がる,一部採択
33,7,2014,1,イカスミ,超一丸地方都市鯖江,東京にいる鯖江出身者のつながりを広げ、鯖江に人が戻るきっかけをつくる,東京に出た大学生は鯖江市とのつながりがなくなる ⇒福井の県人寮を活用 例）明倫学舎：福井県出身の男子学生寮で毎年新入生が入り、いつでも会議ができる ⇒二世の会をつくる・・・鯖江市内で自営業を営んでいる親を持つ人たちの会 活動内容：実家の家業の悩みや問題についてじっくり話し合うことができる 目的：定期的な関わりを持つことで、鯖江にいなくても鯖江とつながっていられる ⇒武田舞彩さん（鯖江市出身でアイドルグループGEMのセンター）を応援することでつながる ・GEMの衣装シェア100％：鯖江産繊維を提供して衣装を作る ・鯖江の人や団体で応援するファンクラブを結成する ・一日市長や吹奏楽フェスティバルに呼ぶ ○市民が一人ひとりお互いにつながることで人が戻る,・一人ひとりが鯖江とのネットワークを維持する中で鯖江に人が戻るきっかけになる,採択
34,7,2014,2,煮たまご,夫婦しあわせ講座,夫婦を対象にした講座を開き、相互理解を深めて離婚率を減少させる,福井県内９市のうち、鯖江市の婚姻率は７位、離婚率は１位（平成22年度） 離婚する夫婦の６割は結婚から５年以内 ⇒５年間夫婦しあわせ講座開講 ５年を乗り越えれば離婚率を減少させられる ①互いの価値観を共有する 結婚を決めた理由を再確認し、相手の考えをきいて相互理解を深める →こんな人だと思わなかったという事態を回避 ②５年間の生活ビジョンの可視化 人生設計のプロフェッショナルである生命保険会社が講義を担当する ⇒夫婦が長続きして出生数が増加する,・夫婦仲を良好にすることで出生数が増加し、鯖江市の人口増につながる,一部採択
35,7,2014,3,桜餅,鯖江発○○向け眼鏡ブランド「ぐらすこ」,ペット用の鯖江オリジナル眼鏡ブランドをつくる,眼鏡をかけるのは人間だけなのか →ペット用眼鏡 アメリカのBarkerというペット向けファッションメガネ会社が創業１年で年商10億を達成 先進市場 ・DOGGLES：犬用ゴーグル、ホコリや紫外線から守る ・WARBY BARKER：かわいさを追求したモデル ペット用眼鏡の消費者が求めていること ①ぴったりしていて外れないこと→鯖江に利点 ②ペットにとって異物感がないこと→鯖江に利点 ③ビジュアルやかわいさ 目標 ・世界中のペットが鯖江の眼鏡を使う ・犬用ウェアラブルメガネの開発により人間と犬が思いを通わせることができる ※第７回地域活性化プランコンテスト 最優秀賞・オーディエンス賞,・ペット用オリジナル眼鏡が普及することにより鯖江の技術のすばらしさが広まり、誇りが持てる,採択
36,7,2014,4,ししゃも,sava e dance?～商店街の異空間、非日常へ～,満月の夜に商店街で仮面舞踏会を開催し、素性を隠してトークゲームなどをする,"満月の夜に商店街に集い仮面舞踏会を行う ・素性を隠してトークゲーム ・仮面ミスコン ・正体当てゲーム ・仮面合わせ ・ジャズライブ・・・ムードを高める ⇒仮面を合わせることで眼鏡のつけ心地の良さを実感できる ⇒いままで眼鏡をつけなかった人も眼鏡をかける機会が増える 参加方法 商店街加盟店での合計1,500円分の買い物で「仮面」が１枚もらえる 当日券は2,000円で購入できる 対象：20歳以上の独身男女 ⇒商店街の日常的な買い物につながる ⇒若者の出会いが生まれる",・商店街での買い物によって仮面舞踏会の参加券を得られるという仕組みにすることで商店街での 日常的な買い物につなげることができる。 ・20歳以上の男女を呼び込むことで出会いが生まれ、商店街にネットワーク、コミュニティ機能をもた らす。,一部採択
37,7,2014,5,ごはん,移住？　河和田でしょ,河和田地区への移住サポートやアフターケアを行う「ヨソモノ課」をつくる,河和田地区 ・自然、伝統、アートキャンプなどの魅力がある ・人のあたたかさ、住みやすさがある ・移住先進地である徳島県神山町と似ている（中山間地域、ICT、オープンな雰囲気など） 全国的に地方へ移住したい若者が増えてきている ・自然の多いところで子育てがしたい、制作活動がしたい 鯖江市の情報量が少ない ・古民家が多いのにもったいない ・空き家バンクがあるのにうまく活用できていない ・河和田ならではのさまざまな魅力とマッチした移住の推進体制がとられていない ◎ヨソモノ課・・・移住した方で作る団体でJK課やOC課のようなもの ・移住サポート：河和田の魅力発信、移住希望者の電話相談に応じる、活動をブログで発信 ・アフターケア：移住後の悩みを共有し、相談相手になる、イベントに一緒に参加するなど,・魅力的な人が河和田地区に移住し人口増加につながる,一部採択
38,7,2014,6,ロールケーキ,公園を作りませんか？-You are main players of Sabae City!!-,大谷公園を市民の理想の公園にする,鯖江市の３つの都市公園：西山公園、中山公園、大谷公園 →大谷公園は１日50人の利用、空間は広いが中身がなく、未完成⇒市民で育てる公園 ◎ベストチョイスアワード事業 遊具の候補を鯖江市のホームページに掲載し、市民が投票する 効果：市民が思い描く大谷公園を作り上げ、公園に対する愛着がうまれる ◎メモリアルツリー事業 市民の大切な記念日に思い出の木を植える（結婚や出産などの記念日） 効果：記念樹を植えるときや成長確認で公園に来る頻度が増える,・市民の理想に沿った公園をつくることができ、大谷公園の来園数が増える,一部採択
39,7,2014,7,ナッツ,鯖江新撰組,市内３中学校の生徒会を中心に地域性のあるイベントを企画・実行する,中学生世代・若者世代が社会参加に乏しい ・小学生世代：子供会（義務的だが社会参加する機会がある） ・高校生世代：鯖江市役所JK課 ・中年世代：OC課をはじめ積極的な世代 ⇒中学生が社会参加できるフィールド作りが必要 小学生で培った社会参加の意識を持続させたい。中学生自身がやりたいという気持ちがある。 ⇒若者世代として青年団が中学生をサポート 力を持っていてまとめることができる。サポートという形で中学生とつながりを持ちたい気持ち がある。 ◎鯖江新撰組・・・市内３中学校生徒会を核に、地区青年団がサポート ・地域に目を向けた活動：地域全体を巻き込み、地域住民が喜びそうなものを企画 ・季節性のあるイベントの運営 ・新撰組が自分たちの判断でイベントを企画 ※第７回地域活性化プランコンテスト 優秀賞,・若者が地域のことを語り合える環境が形成され、若者が実感を持った企画が増えることで地域 住民が地域の活性化を実感できる,一部採択
40,7,2014,8,パイナップル,さばえからはじまる日本男児総イケてる化計画,男塾合宿を開催し、鯖江市の男性の魅力を向上させる,地域活性化＝幸せを感じる＝恋愛 事前調査：鯖江市には男性雑誌がなく、おしゃれではない 18歳～35歳のイケてる男性が増えれば人口も増える 市民へのインタビューからイケてる男子とは、外見がおしゃれで積極性があり、器が大きい人 ⇒男塾合宿（限定10人を対象に2泊3日で誠照寺に宿泊して魅力をアップさせる） 運営はチームパイナップルと学生団体with ・滝にうたれる、誠照寺で座禅体験 ・眼鏡を使ったファッションコーディネート、女性からファッションチェックを受ける ・わらしべ長者で積極性を身につける ※第７回地域活性化プランコンテスト 優秀賞,・鯖江市の男性の魅力が向上することでおしゃれな男性が増え、人口増加につながる,担当課なし（学生団体withが独自の企画として実施予定）
41,8,2015,1,いなり寿司,メガネの帰る街　鯖江,不要になったメガネを記念碑として残し、鯖江をメガネの帰るまちにする,不要になったメガネはリサイクル、捨てる、寄附するなど、買い手に依存している。 ⇒鯖江市をメガネが帰る場所にする ◎メガネバンクの創設 ・不要になった眼鏡を買い手からメガネ店が預って保管し、新しい買い手に引き継ぐ ◎記念碑にしてメガネを形として残す ・買い手、メガネ店、メガネバンクなどから最終的に不要になった眼鏡を集めて記念碑を制作 ・一定の区画に積み上げてタワー状にする ・記念碑は思い入れのあるものを残すというプラスのイメージ,・鯖江市を、眼鏡の産地だけではなく眼鏡が帰る場所にすることで、眼鏡の生涯に携わる地 としてのイメージアップにつながる。,一部採択
42,8,2015,2,にまめ,古民家いじり倒しプロジェクト,移住者が地元住民と交流しながら古民家を修繕する,地域活性化とは ⇒時代、年齢などに関わらずつながりを維持できると実感できること ○河和田地区に着目 ・使えない空き家：仏壇があるから貸せないなどマッチングができていない ・新旧の断絶：新しく来た方とうまくコミュニケーションが取れない ・失われる技能：漆器産業や古民家再生技術など ・自然：都会の人にとっては非日常的 ⇒古民家いじり倒しプロジェクト ・地域住民と交流しながら古民家を修繕し住むベースを作る。 ・資材は自然から調達する。 ・３５歳以下の方を全国から募集して参加してもらう。 （新しいアイデアを生み出すことができる年代）,・古民家の修繕を通じて地元民と移住者のつながりができ、地元に残る技術・技能を 受け継ぐことができる。,一部採択
43,8,2015,3,ミートボール,あなただけのファーストサバエメガネプロジェクト,熟練眼鏡職人がメガネコンシェルジュとしてはじめてメガネをかける人の眼鏡を選ぶ,メガネをかけ始めるのは13歳～18歳くらい メガネには真面目、地味、ガリ勉などマイナスイメージがある→かけたくない ⇒似合っていて満足したメガネをかければ自信が持てる ○メガネコンシェルジュ ・はじめてメガネをかける人は自分に似合うメガネがわからない ・店舗スタッフは専門知識に欠ける ⇒熟練眼鏡職人が引退後、コンシェルジュとして専門知識や技術を生かす ○ファーストメガネ体験 ・学校の視力検査結果をもとに各家庭にコンシェルジュからの招待状を送付 ・招待状をもらった子どもは眼鏡店に行き、自分に似合う眼鏡を見立ててもらう ○メガネウィーク ・市内の中学２年生・高校２年生を対象に１０月１日から７日まで眼鏡を知るイベントを開催 ・眼鏡職人や市長による講義やレクチャー、眼鏡作成体験、意見交換などを行う,・眼鏡に対するイメージをマイナスからプラスに変え、鯖江産眼鏡への愛着や郷土愛を育む ・メガネウィークは学年を決めて開催するため、毎年対象者が異なり、継続的な周知や 購買が見込める,一部採択
44,8,2015,4,シチュー,ネクタイがメガネになる日,眼鏡産業の技術・伝統の継承を図るため、伊達眼鏡市場を開拓する,○地域活性化のゴール ・その町の資源で提供できる最大限の幸福をつくる ・ヒト、文化、自然、産業などの財産の維持・継承 ○眼鏡産業に着目 ・2014年国内眼鏡市場規模は4年連続プラス成長 ・特に伊達眼鏡などファッション眼鏡市場の成長率が高い ・鯖江市の眼鏡産業の出荷額・従業員数ともに2008年から2011年にかけてで30％減少 ⇒レンズや度がない伊達眼鏡市場の開拓 ○具体的な取り組み ・鯖江発 伊達眼鏡ブランドの構築：20代の女性が伊達眼鏡を着用することで大人の女性に ・眼鏡デザインのオープンデータ化で着せ替えアプリを開発 →ブランド加盟店のデザインをオープンデータ化 ・女性から男性にネクタイではなく伊達眼鏡を送るという文化：クリスマスや記念日の贈答品 ・伊達眼鏡専門店の設置,・既存の眼鏡市場ではなく、伊達眼鏡市場を開拓することで鯖江市の眼鏡産業が産業として持続で き、技術・伝統の継承を図ることができる,一部採択
45,8,2015,5,五平餅,鯖江朝食フェスティバル,鯖江朝食フェスティバルを開催し、漆器の需要拡大を図る,"地域活性化：あらゆる立場の人が楽しめる形で地域の課題を解決し、市民がより地域に 愛着を持てる ○漆器に着目 ・生活様式の変化や安価な商品に目が行き需要が減少、経営難や後継者不足に →需要拡大の必要性 ⇒鯖江朝食フェスティバル ・ターゲット：31歳女性、夫と3歳の子がいる 平日は子どもを保育園に預けてパート、土日は家族と過ごす ・場所：サンドーム福井 ・1,000円で入場し、味噌汁や全国の米、パン、グラノーラなどさまざまな朝食が漆器に盛られ提供 ・気に入った漆器1点、漆器カタログ、朝食レシピを持ち帰ることができる ・運営形態：市が会場確保、広報、運営など全体の設計、漆器工房や食品会社が出店する ⇒漆器の需要拡大につながる ・漆器を生で見て使うことにより良さを体感でき、購買のきっかけになる",・朝食を楽しみながら自然と漆器に触れることで、多くの人に漆器の良さを感じてもらえる,一部採択
46,8,2015,6,ロールパン,うるしをぬるし,越前漆器の認知度を高めるため市内観光名所等のトイレを漆塗りにする,・トイレでその土地の文化がわかる ・業務用漆器の８割が越前漆器なのに、全国的に知られていないのは残念 ⇒トイレ全てを漆塗りにする ・はじめに鯖江駅、西山公園、ラポーゼかわだなどの鯖江市内の施設 ・北陸新幹線や東京スカイツリー、新国立競技場、国際線の飛行機内など ○漆塗りトイレのメリット ・漆は抗菌性に優れている ・使えば使うほど味が出る,・漆塗りのトイレというインパクトによって越前漆器の認知度を高めることができる,一部採択
47,8,2015,7,ナタデココ,SABAE2.0　視力日本一の鯖江,近視改善に取り組み鯖江市を日本一視力の良いまちにする,○メガネを作っている鯖江を、日本一視力の良いまちにする ・市内の風景に視力検査のマークを配置すると遠くを意識でき、いつでも視力検査ができる ・小学校のカリキュラムにゲーム感覚の眼球トレーニングや良い姿勢を保つための体操などを 導入 ○近視改善に取り組む理由 ・市民の健康を増進することで市のイメージが向上し、市内のメガネ生産者の売上げも向上する ・市民の健康と市の誠実な取り組みによって、メガネ生産者へのイメージも良くなる,・市が誠実に近視改善に取り組み、市民の健康が増進されることにより、市内のメガネ生産者 へのイメージも向上し、売上げも向上する。,一部採択
48,8,2015,8,パンナコッタ,鯖江に新たな観光産業を作る　-鯖江で親孝行って？-,親の銀婚式を鯖江で祝い、鯖江の良さを伝える,鯖江幸福量を増大：鯖江市民が地元に対する愛着の量を増やす →市外から来る人が評価することで市民の自信や誇りにつながる ○鯖江の良さを鯖江を知らない人に伝える 対象：銀婚式をむかえる刺激を好む熟年夫婦 内容：子どもがメッセージや親の写真をもとにメッセージボードを作成して銀婚式を祝う 二人の思い出の品を河和田の金継ぎの技術でリメイク、工房の方々が祝福する ⇒親孝行ができ、鯖江の良さを鯖江を知らない人に伝えることができる。 ⇒鯖江市民がまちに可能性を感じ、地元愛や誇りが生まれる ・実施主体は旅行代理店等、行政はその代理店の招致など,・親の銀婚式を鯖江で祝うことにより鯖江の良さを鯖江を知らない人に伝えることができる ・市外から来る人が増え、評価されることで市民がまちに可能性を感じ、地元愛や誇りが生まれる,一部採択
49,9,2016,1,イベリコ豚,ITとともに、次の鯖江へ。,プログラミングを軸としたIT教育で次世代の人材を育成する,○プログラミングをはじめとするIT教育などの次世代教育、地場産業の体験などのふるさと教育が重要  ⇒「次世代対応型高度情報人材の育成並びに鯖江の持続可能性を担保する好循環創出IT教育」プロジェク  ト  　　①10年先取りしたプログラミング教育  　　②舞台は各小中学校とHana道場  　　③Hana道場が行っている基礎養成は学校で行う  　　④全員がプログラミングの要素を身につけさらに挑戦する  ○段階を経てプログラミングに親しむ  　　小学校：低学年で週一回のプログラミング授業、高学年で他の科目にプログラミングを応用  　　中学校：選択科目として高度な内容に挑戦、プログラミングをツールとして地域課題の解決に取り組む  　　⇒Hana道場でお互いに教え合って技術を高める  　　⇒（5年後）ジュニアIT局…地域の課題をITスキルで解決する  　　　　　　　　　ジュニアものづくり局…3Dプリンタ、レーザーカッターを使うクリエイター集団  　　⇒（10年後）IT起業家輩出No.1,・プログラミングを軸とした最先端のIT教育を求めて教育移住者が増加（4.4％⇒20％）  ・ITを活用して地場産業から鯖江ブランドを構築,一部採択
50,9,2016,2,にがうり,鯖江発金メダル獲得計画,カメラ付きのずれない眼鏡を着用して体操の練習をすることで技術力向上を目指す,・鯖江の強み：眼鏡、IT、体操　　⇒指導者を対象に、競技力向上のためのカメラつきのずれない眼鏡を開発。競技者の視点を撮影し指導　　IT企業：ソフト開発　　体操選手：データの提供　　眼鏡産業：ずれない眼鏡の製造　　行政：３者の連携を促進　　コーチングサポート：市内の小学生に器械運動の際に着用してもらい選手の視点からも指導ができる　　メンタルサポート：自分の成功体験をもとに本番前にイメージトレーニングができる　　スキルサポート：アスリートの演技を学ぶために360度カメラで撮影する,・メガネとITの強みを活かして体操の聖地として競技力向上に貢献できる・IT企業としては、先進的な事例に取り組むことができ、市によるサポートが見込める・将来的に鯖江市が開発した体操競技者用ソフトを通じてオリンピック選手が育つ,一部採択
51,9,2016,3,ミルフィーユ,MEGALYMPIC,MEGALYMPICという眼鏡を使った競技イベントを開催しメガネのまちを発信する,・メガネのまち鯖江を日本中に発信　　鯖江のメガネの周知、不要なメガネを生かす　　⇒MEGALYMPIC：メガネを使った新しいかたちの祭典　　　全25種50種目以上の競技　　　例：メガネ騎馬戦、眼鏡走（がんきょうそう）など　　　表彰は金・銀・銅メガネを授与　　　会場は鯖江駅を中心として西山公園や東公園、開会式にサンドームを活用するなど　　　来場者は１万人を想定　　　IT技術によりつつじバスのダイヤコントロールを行い、大会のスケジュールアプリも開発　　　※佐賀県鹿島市のガタリンピックは動員数約３万人、静岡県伊東市の枕投げ大会は学生を中心に話題,・東公園からめがねミュージアムへの人の流れができ、来客数が増加する・眼鏡の売り上げ増、商店街や土産店の売上げ増加が期待できる,一部採択
52,9,2016,4,シーザーサラダ,メガネボーイズで日本一へ,鯖江ボーイズに鯖江産のサングラスを着用してもらい目の健康を守るまちをPRする,・現在：眼鏡を売る⇒将来：目の健康を守る　　紫外線によって目が黄色くなる瞼裂班の初期症状は、野球部の生徒が屋内の部活動の生徒の２倍　　⇒スポーツサングラスで目を保護できないか。　　　　プロ野球ではサングラスを使用する選手もおおい。近年、高校野球や少年野球にも慣用的　　・鯖江ボーイズが鯖江特製のサングラスを着用して練習する　　紫外線予防＋プレーにも役立つ（フライ捕球時のまぶしさをおさえる）　　⇒鯖江ボーイズが全国優勝することで取り組みが認知される　　⇒スポーツ時のサングラスの適切な利用と、それに伴う目の健康の増進を推進する条例の整備  ・鯖江の高い眼鏡枠製造技術が改めて広まる　・目の健康を守る街というイメージが広まる　・眼鏡、UVカットの眼鏡、サングラスの売上げが増加する  一部採択  子供のスポーツ時の目を守る。  既,・鯖江の高い眼鏡枠製造技術が改めて広まる　・目の健康を守る街というイメージが広まる　・眼鏡、UVカットの眼鏡、サングラスの売上げが増加する,一部採択
53,9,2016,5,ゴルゴンゾーラ,Animegane,既存のアニメや今後放送されるアニメとの眼鏡コラボ商品を開発する,実世界では、国産めがねにおける鯖江の割合は97％⇒２次元ではどうか　2000年代視聴率トップ30アニメの主要キャラにメガネキャラがいる割合は21人で50％　⇒しかし鯖江はあまりアニメとコラボしていない　2000年代視聴率トップ30アニメの中でコラボメガネを作っているのは9作品、そのうち鯖江産は1作品のみ　⇒全てのコラボメガネを鯖江でつくっていたら約6億7000万円（推計）　　●Animegane　　アニメ＋メガネ　　鯖江だからこそできるプロジェクト　　①既存のアニメとのメガネコラボ商品の開発　　ワンピースのキャラクターをモチーフにしたメガネは3900円で16万本を売り上げた⇒ニーズあり　　いいもののためにお金を使うオタク⇒Animeganeでは、本物の品質にこだわり、普段使いできるように　　②今までの人気アニメだけではなく、これからのアニメのキャラのメガネを先回りして開発する　　眼鏡業者とオタクが協議してキャラクターの眼鏡を作成し、市が代表してプロダクションに売り込む　　・アニメ産業の市場規模拡大、世界に進出するチャンスもある⇒めがねのまち鯖江が世界に浸透　　・オタク層が無料で商品開発に関わることができる,・世界のアニメ市場規模が拡大しており、Animeganeが世界に進出した場合、めがねのまち鯖江が世界に浸透する。　・オタク層が商品開発に関わることで、市民参加につながる。,一部採択
54,9,2016,6,むらさきいも,楽しい」をつくる、鯖江大学,若者が大人のサポートを受けながら主体的にイベントを運営する鯖江大学の創設,・鯖江に必要な「活性化」とは、楽しさ･･･若者が楽しめるところがない　　⇒「楽しい」街にすることで、鯖江を、若者が住みたい街へ　　　若者：主体的に行動することが可能な中学生～コミュニティ形成を欲していると想定される20代未婚　　　楽しい：人とのつながり、コミュニティでの一体感や達成感、非日常体験　●若者世代間協働型イベント運営組織　鯖江大学　　　中高生のアイデアを大学生や大人がサポートして具現化する。　　　初年度の構成は、商学部、音楽学部、ものづくり学部　　　○商学部の具体例　　　中学生：バイトはできないけど、まつりの屋台をやりたい　　　大学生・社会人：鯖江の特産品を使うといい、出店手続きを手伝うよ　など　　　○教育理念：鯖江に大学を…上から下の世代に知識・技術を伝達⇒強固なコミュニティ形成　　　　　　　　若者が主体的にイベント運営…若者が発案から実行までを担う⇒次世代地域リーダーの育成に貢献　　　　　　　　中学生から社会人全員の夢を実現…大人も中高生の指導を通じて学び、自己実現,ＪＫ課事業の発展形として、市内の中高生含む若者（団体）から提案を集め、実施に至る過程をサポートする事業実施を検討する。,採択
55,9,2016,7,七草がゆ,“市長”になります！,夜の商店街を活用して若者や学生が夜を楽しめる環境をつくる,鯖江のイメージ：オープンデータ、眼鏡、JK課、レッサーパンダなど先進的　⇒しかし商店街は寂しい。中心市街地の人口減少、売上げ減少　鯖江の玄関になる商店街を夜に活用　⇒Night Mayor（ナイトメイヤー）：市長公認の団体、ボランティア活動、規制やルールを市長に提言　　○若者や学生を商店街にひきつけるために節度を保って夜を楽しめる環境をつくる　　・バーでお酒を飲む、飲み歩きができる　　・音楽が流れている　　・西山公園・日野川沿いにお酒を飲む場所がある　　・レッサーパンダのナイトツアー　　○夜の政策を広げる　　・商店街に提案　　・規制やルールを市長に提案　　・新たなお酒の開発　　⇒「大人の街」というイメージを醸成し、県外からの集客を図る,・大人の夜の街というイメージを持ってもらい、若者が学生が楽しめる環境をつくることで、商店街の活性化につながる。,一部採択
56,9,2016,8,ハニートースト,LPS　PROJECT,本町・古町商店街の空き店舗にレッサーパンダを移動させ、魅力ある商店街にする,鯖江の商店街は寂しい。JR鯖江駅の利用者や西山公園を訪れる人が立ち寄れるように　⇒LPS：LESSER PANDA STREET　　全てのレッサーパンダを本町・古町商店街の空き店舗に移動させ、気軽に会いにいけるように　　屋内は、生き物としての魅力と価値が伝わる個性的な飼育環境に。　　○商店街に歩いて来てもらう　　　・駅の看板にレッサーパンダ　　　・商店街を歩行者天国化、歩きたくなる空間に　　○市が主体となり、商店街や市民が協力する　　　・商店街と連携してコラボ土産やエサやり件、LINEスタンプの開発など　　　・市民と連携して店舗の改修や見守り、情報発信など　　○具体的プラン　　　・空き店舗は２商店街の２割。出張所や教育施設も設置　　　・改修費用は１施設あたり約2000万円、人口７万人だと一人あたり約285円の負担,・商店街の観光客数が増加し、商店街が活気を取り戻す　・市全体の一体感が醸成される,一部採択